nohup: ./build/dev/pm2.sh: Permission denied
nohup: ./build/dev/start_mongod.sh: Permission denied
nohup: ./build/dev/start_mongod.sh: Permission denied
2019-04-13T14:51:37.908+0800 I CONTROL  [initandlisten] MongoDB starting : pid=37050 port=27027 dbpath=/Users/gaozhenze/Documents/localbin/mongo/database 64-bit host=didideMacBook-Air-237.local
2019-04-13T15:50:59.012+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64359 #8 (2 connections now open)
2019-04-13T15:50:59.016+0800 I NETWORK  [conn8] received client metadata from 127.0.0.1:64359 conn8: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T15:51:36.267+0800 I -        [conn8] end connection 127.0.0.1:64359 (2 connections now open)
2019-04-13T15:53:21.277+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64972 #9 (2 connections now open)
2019-04-13T15:53:21.281+0800 I NETWORK  [conn9] received client metadata from 127.0.0.1:64972 conn9: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T15:59:00.495+0800 I -        [conn9] end connection 127.0.0.1:64972 (2 connections now open)
2019-04-13T16:01:19.909+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50591 #10 (2 connections now open)
2019-04-13T16:01:19.913+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:50591 conn10: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:23:32.190+0800 I -        [conn10] end connection 127.0.0.1:50591 (2 connections now open)
2019-04-13T16:50:23.094+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64048 #11 (2 connections now open)
2019-04-13T16:50:23.098+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:64048 conn11: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:51:54.040+0800 I -        [conn11] end connection 127.0.0.1:64048 (2 connections now open)
2019-04-13T16:51:55.263+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64790 #12 (2 connections now open)
2019-04-13T16:51:55.267+0800 I NETWORK  [conn12] received client metadata from 127.0.0.1:64790 conn12: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:52:24.588+0800 I -        [conn12] end connection 127.0.0.1:64790 (2 connections now open)
2019-04-13T16:52:25.399+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64954 #13 (2 connections now open)
2019-04-13T16:52:25.403+0800 I NETWORK  [conn13] received client metadata from 127.0.0.1:64954 conn13: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:52:47.336+0800 I -        [conn13] end connection 127.0.0.1:64954 (2 connections now open)
2019-04-13T16:52:48.175+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:65065 #14 (2 connections now open)
2019-04-13T16:52:48.179+0800 I NETWORK  [conn14] received client metadata from 127.0.0.1:65065 conn14: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:53:38.684+0800 I -        [conn14] end connection 127.0.0.1:65065 (2 connections now open)
